Organism,Groups,Size,Chromosomes,Organelles,Plasmids,Assemblies
Haloterrigena thermotolerans,Archaea;Euryarchaeota;Stenosarchaea group,3.89527,0,0,0,1
Haloterrigena turkmenica,Archaea;Euryarchaeota;Stenosarchaea group,5.44078,1,0,6,2
Halothece,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,4.17917,1,0,0,1
Halothermothrix,Bacteria;Terrabacteria group;Firmicutes,1.95033,0,0,0,2
Halothermothrix orenii,Bacteria;Terrabacteria group;Firmicutes,2.57815,1,0,0,1
Halothiobacillaceae bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,2.39154,0,0,0,2
Halothiobacillaceae bacterium UBA3459,Bacteria;Proteobacteria;Gammaproteobacteria,2.97507,0,0,0,1
Halothiobacillaceae bacterium UBA5337,Bacteria;Proteobacteria;Gammaproteobacteria,3.10301,0,0,0,1
Halothiobacillaceae bacterium UBA5861,Bacteria;Proteobacteria;Gammaproteobacteria,3.25307,0,0,0,1
Halothiobacillus,Bacteria;Proteobacteria;Gammaproteobacteria,2.90896,1,0,0,15
Halothiobacillus neapolitanus,Bacteria;Proteobacteria;Gammaproteobacteria,2.58289,1,0,0,2
Halovenus,Archaea;Euryarchaeota;Stenosarchaea group,2.91184,0,0,0,3
Halovenus aranensis,Archaea;Euryarchaeota;Stenosarchaea group,3.28712,0,0,0,1
Halovibrio,Bacteria;Proteobacteria;Gammaproteobacteria,3.4951,0,0,0,1
Halovibrio variabilis,Bacteria;Proteobacteria;Gammaproteobacteria,3.72915,0,0,0,1
Halovirus HCTV-1,Viruses;unclassified viruses;unclassified,0.103257,1,0,0,1
Halovirus HCTV-2,Viruses;unclassified viruses;unclassified,0.054291,1,0,0,1
Halovirus HCTV-5,Viruses;unclassified viruses;unclassified,0.102105,1,0,0,1
Halovirus HF1,Viruses;Other;Myoviridae,0.075898,1,0,0,1
Halovirus HGTV-1,Viruses;unclassified viruses;unclassified,0.143855,1,0,0,1
Halovirus HHTV-1,Viruses;unclassified viruses;unclassified,0.049107,1,0,0,1
Halovirus HHTV-2,Viruses;unclassified viruses;unclassified,0.052643,1,0,0,1
Halovirus HRTV-4,Viruses;unclassified viruses;unclassified,0.035722,1,0,0,1
Halovirus HRTV-5,Viruses;Other;Myoviridae,0.076134,1,0,0,1
Halovirus HRTV-7,Viruses;Other;Myoviridae,0.069048,1,0,0,1
Halovirus HRTV-8,Viruses;Other;Myoviridae,0.074519,1,0,0,1
Halovirus HSTV-1,Viruses;unclassified viruses;unclassified,0.032189,1,0,0,1
Halovirus HSTV-2,Viruses;Other;Myoviridae,0.068527,1,0,0,1
Halovirus HVTV-1,Viruses;unclassified viruses;unclassified,0.102319,1,0,0,1
Halovirus VNH-1,Viruses;unclassified viruses;unclassified,0.010021,1,0,0,1
Halovivax,Archaea;Euryarchaeota;Stenosarchaea group,3.85527,0,0,0,2
Halovivax asiaticus,Archaea;Euryarchaeota;Stenosarchaea group,3.23845,0,0,0,1
Halovivax ruber,Archaea;Euryarchaeota;Stenosarchaea group,3.22388,1,0,0,1
Halteria grandinella,Eukaryota;Protists;Other Protists,64.0495,0,0,0,1
Halyomorpha halys,Eukaryota;Animals;Insects,998.241,0,1,0,1
Halyomorpha halys virus,Viruses;Other;Iflaviridae,0.009271,1,0,0,1
Hamadaea tsunoensis,Bacteria;Terrabacteria group;Actinobacteria,9.47889,0,0,0,1
Hamiltonella virus APSE1,Viruses;Other;Podoviridae,0.036524,1,0,0,1
Hamiltosporidium magnivora,Eukaryota;Fungi;Other Fungi,20.7341,0,0,0,2
Hamiltosporidium tvaerminnensis,Eukaryota;Fungi;Other Fungi,25.2027,0,0,0,3
Hammondia hammondi,Eukaryota;Protists;Apicomplexans,51.4981,0,0,0,2
Hana virus,Viruses;Other;Mesoniviridae,0.02007,1,0,0,1
Handroanthus impetiginosus,Eukaryota;Plants;Land Plants,503.289,0,0,0,1
Hanko virus,Viruses;Other;Flaviviridae,0.010158,1,0,0,1
Hanseniaspora clermontiae,Eukaryota;Fungi;Ascomycetes,9.00338,0,0,0,1
Hanseniaspora guilliermondii,Eukaryota;Fungi;Ascomycetes,9.13564,0,0,0,2
Hanseniaspora jakobsenii,Eukaryota;Fungi;Ascomycetes,14.0514,0,0,0,1
Hanseniaspora lachancei,Eukaryota;Fungi;Ascomycetes,9.94876,0,0,0,1
Hanseniaspora meyeri,Eukaryota;Fungi;Ascomycetes,10.2447,0,0,0,1
Hanseniaspora nectarophila,Eukaryota;Fungi;Ascomycetes,9.95599,0,0,0,1
Hanseniaspora occidentalis,Eukaryota;Fungi;Ascomycetes,12.166,0,0,0,2
Hanseniaspora opuntiae,Eukaryota;Fungi;Ascomycetes,8.83196,0,0,0,1
Hanseniaspora osmophila,Eukaryota;Fungi;Ascomycetes,11.4584,0,0,0,2
Hanseniaspora pseudoguilliermondii,Eukaryota;Fungi;Ascomycetes,9.07795,0,0,0,1
Hanseniaspora singularis,Eukaryota;Fungi;Ascomycetes,9.23602,0,0,0,1
Hanseniaspora sp. CRUB 1602,Eukaryota;Fungi;Ascomycetes,9.54821,0,0,0,1
Hanseniaspora sp. NB-2018a,Eukaryota;Fungi;Ascomycetes,10.1832,0,0,0,1
Hanseniaspora thailandica,Eukaryota;Fungi;Ascomycetes,9.97609,0,0,0,1
Hanseniaspora uvarum,Eukaryota;Fungi;Ascomycetes,8.80779,0,0,0,6
Hanseniaspora valbyensis,Eukaryota;Fungi;Ascomycetes,11.464,0,0,0,1
Hanseniaspora vineae,Eukaryota;Fungi;Ascomycetes,11.3389,0,0,0,3
Hansschlegelia,Bacteria;Proteobacteria;Alphaproteobacteria,3.57981,0,0,0,1
Hansschlegelia zhihuaiae,Bacteria;Proteobacteria;Alphaproteobacteria,4.62152,0,0,0,1
Hanstruepera crassostreae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,3.13622,0,0,0,1
Hanstruepera neustonica,Bacteria;FCB group;Bacteroidetes/Chlorobi group,3.04958,0,0,0,1
Hantaan orthohantavirus,Viruses;Other;Hantaviridae,0.011845,3,0,0,1
Hantavirus Z10,Viruses;Other;Hantaviridae,0.01185,3,0,0,1
Hapalosiphon,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,7.42972,0,0,0,1
Hapalosiphonaceae cyanobacterium JJU2,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,7.14507,0,0,0,1
Haplochromis burtoni,Eukaryota;Animals;Fishes,831.412,0,0,0,1
Harbour porpoise adenovirus 1,Viruses;Other;Adenoviridae,0.022836,1,0,0,1
Hardenbergia mosaic virus,Viruses;Other;Potyviridae,0.009682,1,0,0,1
Hardenbergia virus A,Viruses;Other;Betaflexiviridae,0.006942,1,0,0,1
Hardy-Zuckerman feline sarcoma virus,Viruses;Other;Retroviridae,0.002473,1,0,0,1
Harmonia axyridis,Eukaryota;Animals;Insects,422.831,0,0,0,4
Harp seal herpesvirus,Viruses;Other;Herpesviridae,0.117276,1,0,0,1
Harpegnathos saltator,Eukaryota;Animals;Insects,334.537,0,0,0,2
Harrier picornavirus 1,Viruses;Other;Picornaviridae,0.008541,1,0,0,1
Harrisina brillians granulovirus,Viruses;Other;Baculoviridae,0.001241,1,0,0,1
Harryflintia acetispora,Bacteria;Terrabacteria group;Firmicutes,3.02388,0,0,0,2
Hart Park hapavirus,Viruses;Other;Rhabdoviridae,0.013104,1,0,0,1
Hartmannibacter diazotrophicus,Bacteria;Proteobacteria;Alphaproteobacteria,5.44977,1,0,1,1
Harvey murine sarcoma virus,Viruses;Other;Retroviridae,9.97e-4,1,0,0,1
Hasllibacter halocynthiae,Bacteria;Proteobacteria;Alphaproteobacteria,2.78463,0,0,0,1
Hassallia byssoidea,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,13.0965,0,0,0,1
Hathewaya histolytica,Bacteria;Terrabacteria group;Firmicutes,2.74079,1,0,0,1
Hathewaya proteolytica,Bacteria;Terrabacteria group;Firmicutes,2.81802,0,0,0,1
Havel River virus,Viruses;Other;Tombusviridae,0.002088,1,0,0,1
Hawksworthiomyces lignivorus,Eukaryota;Fungi;Ascomycetes,43.817,0,0,0,1
Hazara orthonairovirus,Viruses;Other;Nairoviridae,0.018232,3,0,0,1
Hazenella coriacea,Bacteria;Terrabacteria group;Firmicutes,3.03132,0,0,0,1
HCBI8.215 virus,Viruses;Other;Genomoviridae,0.002152,1,0,0,1
HCBI9.212 virus,Viruses;Other;Genomoviridae,0.002121,1,0,0,1
Heartland virus,Viruses;Other;Phenuiviridae,0.011567,3,0,0,1
Hebeloma cylindrosporum,Eukaryota;Fungi;Basidiomycetes,38.226,0,0,0,1
Hedgehog dicipivirus,Viruses;Other;Picornaviridae,0.008838,1,0,0,1
Hedyotis uncinella yellow mosaic virus,Viruses;Other;Geminiviridae,0.002749,1,0,0,1
Hedyotis yellow mosaic betasatellite,Viruses;Other;Tolecusatellitidae,0.001348,1,0,0,1
Helcobacillus massiliensis,Bacteria;Terrabacteria group;Actinobacteria,2.232,0,0,0,1
Helcococcus kunzii,Bacteria;Terrabacteria group;Firmicutes,2.09646,0,0,0,1
Helcococcus massiliensis,Bacteria;Terrabacteria group;Firmicutes,1.36108,0,0,0,1
Helcococcus ovis,Bacteria;Terrabacteria group;Firmicutes,1.8166,0,0,0,4
Helcococcus sueciensis,Bacteria;Terrabacteria group;Firmicutes,1.57377,0,0,0,1
Helenium virus S,Viruses;Other;Betaflexiviridae,0.001389,1,0,0,1
Helianthus annuus,Eukaryota;Plants;Land Plants,3027.84,17,2,0,1
Helianthus annuus alphaendornavirus,Viruses;Other;Endornaviridae,0.014663,1,0,0,1
Helicobacter,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.59631,1,0,0,42
Helicobacter acinonychis,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.58088,1,0,1,8
Helicobacter ailurogastricus,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.5784,0,0,0,6
Helicobacter anseris,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.62388,0,0,0,2
Helicobacter apodemus,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.06816,0,0,0,2
Helicobacter aurati,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.97392,0,0,0,2
Helicobacter baculiformis,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.67348,0,0,0,1
Helicobacter bilis,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.6204,1,0,0,11
Helicobacter bizzozeronii,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.80753,1,0,1,10
Helicobacter brantae,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.73076,0,0,0,1
Helicobacter canadensis,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.62384,1,0,0,4
Helicobacter canis,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.93282,0,0,0,2
Helicobacter cetorum,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.96011,1,0,1,5
Helicobacter cholecystus,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.42026,1,0,0,3
Helicobacter cinaedi,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.24013,1,0,0,37
Helicobacter cynogastricus,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.65953,0,0,0,1
Helicobacter equorum,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.75049,0,0,0,2
Helicobacter felis,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.67268,1,0,0,23
Helicobacter fennelliae,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.15565,0,0,0,4
Helicobacter ganmani,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.81882,0,0,0,1
Helicobacter heilmannii,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.63899,0,0,0,8
Helicobacter hepaticus,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.79915,1,0,0,1
Helicobacter himalayensis,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.82994,1,0,0,1
Helicobacter jaachi,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.90465,0,0,0,1
Helicobacter japonicus,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.94527,0,0,0,1
Helicobacter macacae,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.36953,0,0,0,1
Helicobacter magdeburgensis,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.07422,0,0,0,1
Helicobacter marmotae,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.95718,0,0,0,2
Helicobacter mesocricetorum,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.8311,0,0,0,1
Helicobacter muridarum,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.22518,0,0,0,5
Helicobacter mustelae,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.5781,1,0,0,3
Helicobacter pametensis,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.43507,0,0,0,4
Helicobacter phage 1961P,Viruses;Other;Podoviridae,0.026836,1,0,0,1
Helicobacter phage DeM53M,Viruses;Other;Podoviridae,0.028068,1,0,0,1
Helicobacter phage FrANT170U,Viruses;Other;Podoviridae,0.0312,1,0,0,1
Helicobacter phage FrB41M,Viruses;Other;Podoviridae,0.029388,1,0,0,1
Helicobacter phage FrB58M,Viruses;Other;Podoviridae,0.022559,1,0,0,1
Helicobacter phage FrG12G,Viruses;Other;Podoviridae,0.028565,1,0,0,1
Helicobacter phage FrGC43A,Viruses;Other;Podoviridae,0.032975,1,0,0,1
Helicobacter phage FrMEG235U,Viruses;Other;Podoviridae,0.031236,1,0,0,1
Helicobacter phage KHP30,Viruses;Other;Podoviridae,0.026215,1,0,0,1
Helicobacter phage KHP40,Viruses;Other;Podoviridae,0.026449,1,0,0,1
Helicobacter phage phiHP33,Viruses;Other;Podoviridae,0.024645,1,0,0,1
Helicobacter phage Pt1293U,Viruses;Other;Podoviridae,0.030071,1,0,0,1
Helicobacter phage Pt1846U,Viruses;Other;Podoviridae,0.02796,1,0,0,1
Helicobacter phage Pt1918U,Viruses;Other;Podoviridae,0.02867,1,0,0,1
Helicobacter phage Pt21299RU,Viruses;Other;Podoviridae,0.023008,1,0,0,1
Helicobacter phage Pt22899G,Viruses;Other;Podoviridae,0.030078,1,0,0,1
Helicobacter phage Pt4472G,Viruses;Other;Podoviridae,0.027572,1,0,0,1
Helicobacter phage Pt4481G,Viruses;Other;Podoviridae,0.025388,1,0,0,1
Helicobacter phage Pt4497U,Viruses;Other;Podoviridae,0.029393,1,0,0,1
Helicobacter phage Pt5322G,Viruses;Other;Podoviridae,0.028341,1,0,0,1
Helicobacter phage Pt5771G,Viruses;Other;Podoviridae,0.029801,1,0,0,1
Helicobacter phage PtB89G,Viruses;Other;Podoviridae,0.027363,1,0,0,1
Helicobacter phage PtB92G,Viruses;Other;Podoviridae,0.030548,1,0,0,1
Helicobacter phage Sw577G,Viruses;Other;Podoviridae,0.026906,1,0,0,1
Helicobacter phage SwA626G,Viruses;Other;Podoviridae,0.030977,1,0,0,1
Helicobacter phage UKEN31U,Viruses;Other;Podoviridae,0.030456,1,0,0,1
Helicobacter phage UKEN32U,Viruses;Other;Podoviridae,0.029882,1,0,0,1
Helicobacter pullorum,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.95167,0,0,0,22
Helicobacter pylori,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.66787,1,0,0,1475
Helicobacter rappini,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.50732,0,0,0,1
Helicobacter rodentium,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.81065,0,0,0,1
Helicobacter saguini,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.72177,0,0,0,5
Helicobacter salomonis,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.66285,0,0,0,5
Helicobacter suis,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.63529,0,0,0,18
Helicobacter trogontum,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.44632,0,0,0,5
Helicobacter typhlonius,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.92083,1,0,0,5
Helicobacter valdiviensis,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.18129,0,0,0,1
Helicobacter winghamensis,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.69022,0,0,0,6
Helicobacteraceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.1709,0,0,0,4
Helicobacteraceae bacterium 4484_230,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.57719,0,0,0,1
Helicobacteraceae bacterium CG1_02_36_14,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.31817,0,0,0,1
Helicobacteraceae bacterium CG2_30_36_10,Bacteria;Proteobacteria;delta/epsilon subdivisions,1.99213,0,0,0,1
Helicobacteraceae bacterium UBA6016,Bacteria;Proteobacteria;delta/epsilon subdivisions,2.23434,0,0,0,1
Helicobasidium mompa alphaendornavirus 1,Viruses;Other;Endornaviridae,0.016614,1,0,0,1
Helicobasidium mompa partitivirus V70,Viruses;Other;Partitiviridae,0.001928,1,0,0,1
Helicobasidium mompa totivirus 1-17,Viruses;Other;Totiviridae,0.005207,2,0,0,1
Helicocarpus griseus,Eukaryota;Fungi;Ascomycetes,32.0351,0,0,0,1
Heliconius cydno,Eukaryota;Animals;Insects,282.336,0,0,0,18
Heliconius elevatus,Eukaryota;Animals;Insects,364.784,0,0,0,9
Heliconius erato iflavirus,Viruses;Other;Iflaviridae,0.00991,1,0,0,1
Heliconius ethilla,Eukaryota;Animals;Insects,282.527,0,0,0,5
Heliconius hecale,Eukaryota;Animals;Insects,78.5306,0,0,0,6
Heliconius hecuba,Eukaryota;Animals;Insects,212.767,0,0,0,1
Heliconius heurippa,Eukaryota;Animals;Insects,309.419,0,0,0,2
Heliconius hierax,Eukaryota;Animals;Insects,210.868,0,0,0,1
Heliconius ismenius,Eukaryota;Animals;Insects,259.837,0,0,0,2
Heliconius melpomene,Eukaryota;Animals;Insects,273.786,0,0,0,50
Heliconius numata,Eukaryota;Animals;Insects,364.328,0,0,0,5
Heliconius pachinus,Eukaryota;Animals;Insects,279.265,0,0,0,2
Heliconius pardalinus,Eukaryota;Animals;Insects,293.609,0,0,0,10
Heliconius timareta,Eukaryota;Animals;Insects,319.43,0,0,0,23
Heliconius wallacei,Eukaryota;Animals;Insects,365.01,0,0,0,1
Heliconius xanthocles,Eukaryota;Animals;Insects,198.612,0,0,0,1
Helicosporidium,Eukaryota;Plants;Green Algae,12.3738,0,0,0,1
Helicoverpa armigera,Eukaryota;Animals;Insects,337.088,0,1,0,1
Helicoverpa armigera densovirus,Viruses;Other;Parvoviridae,0.004926,1,0,0,1
Helicoverpa armigera granulovirus,Viruses;Other;Baculoviridae,0.169794,1,0,0,1
Helicoverpa armigera iflavirus,Viruses;Other;Iflaviridae,0.010017,1,0,0,1
Helicoverpa armigera nucleopolyhedrovirus,Viruses;Other;Baculoviridae,0.132425,1,0,0,3
Helicoverpa armigera stunt virus,Viruses;Other;Alphatetraviridae,0.00779,2,0,0,1
Helicoverpa zea,Eukaryota;Animals;Insects,341.147,0,0,0,1
Heligmosomoides polygyrus,Eukaryota;Animals;Roundworms,696.954,0,0,0,2
Heliobacterium,Bacteria;Terrabacteria group;Firmicutes,2.06153,0,0,0,1
Heliobacterium modesticaldum,Bacteria;Terrabacteria group;Firmicutes,3.07541,1,0,0,1
Heliocybe sulcata,Eukaryota;Fungi;Basidiomycetes,31.9485,0,0,0,1
Heliophila coronopifolia,Eukaryota;Plants;Land Plants,293.602,0,0,0,1
Heliophilum fasciatum,Bacteria;Terrabacteria group;Firmicutes,3.14223,0,0,0,1
Heliothis virescens,Eukaryota;Animals;Insects,403.154,0,0,0,1
Heliothis virescens ascovirus 3a,Viruses;Other;Ascoviridae,0.199721,1,0,0,4
Heliothis virescens ascovirus 3e,Viruses;Other;Ascoviridae,0.186262,1,0,0,1
Heliothis virescens ascovirus 3i,Viruses;Other;Ascoviridae,0.18565,1,0,0,1
Heliothis zea nudivirus,Viruses;Other;Nudiviridae,0.231621,1,0,0,2
Hellea balneolensis,Bacteria;Proteobacteria;Alphaproteobacteria,3.20882,0,0,0,3
Helleborus mosaic virus,Viruses;Other;Betaflexiviridae,0.00303,1,0,0,1
Helleborus net necrosis virus,Viruses;Other;Betaflexiviridae,0.008542,1,0,0,1
Helminthosporium solani,Eukaryota;Fungi;Ascomycetes,34.5316,0,0,0,1
Helminthosporium victoriae 145S virus,Viruses;Other;Chrysoviridae,0.012481,4,0,0,1
Helminthosporium victoriae virus 190S,Viruses;Other;Totiviridae,0.005179,1,0,0,1
Helobdella robusta,Eukaryota;Animals;Other Animals,235.376,0,0,0,1
Helogale parvula,Eukaryota;Animals;Mammals,2392.47,0,0,0,1
Helostoma temminkii,Eukaryota;Animals;Fishes,599.808,0,0,0,1
Helotiales sp. F229,Eukaryota;Fungi;Ascomycetes,85.0865,0,0,0,1
Hemicentrotus pulcherrimus,Eukaryota;Animals;Other Animals,568.912,0,0,0,1
Hemidesmus yellow mosaic virus,Viruses;Other;Geminiviridae,0.002825,1,0,0,1
Hemignathus virens,Eukaryota;Animals;Birds,1086.51,0,0,0,1
Hemileia vastatrix,Eukaryota;Fungi;Basidiomycetes,543.605,0,0,0,2
Hemileuca sp. nucleopolyhedrovirus,Viruses;Other;Baculoviridae,0.140633,1,0,0,1
Hemipteran ambidensovirus 2,Viruses;Other;Parvoviridae,0.004981,1,0,0,1
Hemiselmis andersenii,Eukaryota;Protists;Other Protists,0.632425,3,1,0,1
Hemitragus hylocrius,Eukaryota;Animals;Mammals,2715.04,0,0,0,1
Henbane mosaic virus,Viruses;Other;Potyviridae,0.001646,1,0,0,1
Hendra henipavirus,Viruses;Other;Paramyxoviridae,0.018234,1,0,0,1
Henriciella,Bacteria;Proteobacteria;Alphaproteobacteria,3.97309,0,0,0,7
Henriciella algicola,Bacteria;Proteobacteria;Alphaproteobacteria,3.20376,0,0,0,1
Henriciella aquimarina,Bacteria;Proteobacteria;Alphaproteobacteria,4.33583,0,0,0,1
Henriciella barbarensis,Bacteria;Proteobacteria;Alphaproteobacteria,3.32792,0,0,0,1
Henriciella litoralis,Bacteria;Proteobacteria;Alphaproteobacteria,3.77509,0,0,0,1
Henriciella marina,Bacteria;Proteobacteria;Alphaproteobacteria,3.27777,0,0,0,1
Henriciella pelagia,Bacteria;Proteobacteria;Alphaproteobacteria,3.44402,0,0,0,1
Hepacivirus A,Viruses;Other;Flaviviridae,0.009531,1,0,0,1
Hepacivirus B,Viruses;Other;Flaviviridae,0.009143,1,0,0,1
Hepacivirus C,Viruses;Other;Flaviviridae,0.009443,1,0,0,178
Hepacivirus E,Viruses;Other;Flaviviridae,0.008879,1,0,0,1
Hepacivirus F,Viruses;Other;Flaviviridae,0.009188,1,0,0,1
Hepacivirus G,Viruses;Other;Flaviviridae,0.008976,1,0,0,1
Hepacivirus H,Viruses;Other;Flaviviridae,0.008568,1,0,0,1
Hepacivirus I,Viruses;Other;Flaviviridae,0.008883,1,0,0,1
Hepacivirus J,Viruses;Other;Flaviviridae,0.009687,1,0,0,1
Hepacivirus K,Viruses;Other;Flaviviridae,0.009609,1,0,0,1
Hepacivirus L,Viruses;Other;Flaviviridae,0.008916,1,0,0,1
Hepacivirus M,Viruses;Other;Flaviviridae,0.009188,1,0,0,1
Hepacivirus N,Viruses;Other;Flaviviridae,0.00888,1,0,0,1
Hepacivirus P,Viruses;Other;Flaviviridae,0.008684,1,0,0,1
Hepatitis B virus,Viruses;Other;Hepadnaviridae,0.003248,1,0,0,61
Hepatitis delta virus,Viruses;Deltavirus;unclassified,0.001697,1,0,0,9
Hepatitis E virus,Viruses;Other;Hepeviridae,0.007267,1,0,0,8
Hepatitis GB virus B,Viruses;Other;Flaviviridae,0.009399,1,0,0,1
Hepatospora eriocheir,Eukaryota;Fungi;Other Fungi,4.57028,0,0,0,2
Hepatovirus A,Viruses;Other;Picornaviridae,0.007478,1,0,0,1
Hepatovirus C,Viruses;Other;Picornaviridae,0.00757,1,0,0,1
Hepatovirus D,Viruses;Other;Picornaviridae,0.007656,1,0,0,1
Hepatovirus E,Viruses;Other;Picornaviridae,0.007406,1,0,0,1
Hepatovirus F,Viruses;Other;Picornaviridae,0.007563,1,0,0,1
Hepatovirus G,Viruses;Other;Picornaviridae,0.007399,1,0,0,1
Hepatovirus H,Viruses;Other;Picornaviridae,0.006929,1,0,0,1
Hepatovirus I,Viruses;Other;Picornaviridae,0.00781,1,0,0,1
Hephaestia caeni,Bacteria;Proteobacteria;Alphaproteobacteria,4.52496,0,0,0,1
Heracleum latent virus,Viruses;Other;Betaflexiviridae,0.003006,1,0,0,1
Herbaspirillum,Bacteria;Proteobacteria;Betaproteobacteria,6.78099,1,0,0,27
Herbaspirillum aquaticum,Bacteria;Proteobacteria;Betaproteobacteria,5.42499,0,0,0,1
Herbaspirillum autotrophicum,Bacteria;Proteobacteria;Betaproteobacteria,6.00983,0,0,0,1
Herbaspirillum chlorophenolicum,Bacteria;Proteobacteria;Betaproteobacteria,5.29701,0,0,0,2
Herbaspirillum frisingense,Bacteria;Proteobacteria;Betaproteobacteria,5.40833,0,0,0,1
Herbaspirillum hiltneri,Bacteria;Proteobacteria;Betaproteobacteria,4.96547,1,0,0,2
Herbaspirillum huttiense,Bacteria;Proteobacteria;Betaproteobacteria,5.80323,1,0,0,4
Herbaspirillum lusitanum,Bacteria;Proteobacteria;Betaproteobacteria,4.90487,0,0,0,1
Herbaspirillum rhizosphaerae,Bacteria;Proteobacteria;Betaproteobacteria,5.26611,0,0,0,1
Herbaspirillum robiniae,Bacteria;Proteobacteria;Betaproteobacteria,5.44527,1,0,0,2
Herbaspirillum rubrisubalbicans,Bacteria;Proteobacteria;Betaproteobacteria,6.15299,1,0,0,7
Herbaspirillum seropedicae,Bacteria;Proteobacteria;Betaproteobacteria,5.50972,1,0,0,5
Herbert herbevirus,Viruses;Other;Peribunyaviridae,0.011202,3,0,0,1
Herbiconiux,Bacteria;Terrabacteria group;Actinobacteria,3.76505,0,0,0,2
Herbiconiux ginsengi,Bacteria;Terrabacteria group;Actinobacteria,4.85372,0,0,0,1
Herbiconiux solani,Bacteria;Terrabacteria group;Actinobacteria,3.84977,0,0,0,1
Herbidospora,Bacteria;Terrabacteria group;Actinobacteria,8.31461,0,0,0,1
Herbidospora cretacea,Bacteria;Terrabacteria group;Actinobacteria,8.28209,0,0,0,2
Herbidospora daliensis,Bacteria;Terrabacteria group;Actinobacteria,8.52367,0,0,0,1
Herbidospora mongoliensis,Bacteria;Terrabacteria group;Actinobacteria,9.07175,0,0,0,1
Herbidospora sakaeratensis,Bacteria;Terrabacteria group;Actinobacteria,8.5957,0,0,0,1
Herbidospora yilanensis,Bacteria;Terrabacteria group;Actinobacteria,7.857,0,0,0,1
Herbihabitans rhizosphaerae,Bacteria;Terrabacteria group;Actinobacteria,6.62753,0,0,0,1
Herbinix hemicellulosilytica,Bacteria;Terrabacteria group;Firmicutes,3.53315,0,0,0,3
Herbinix luporum,Bacteria;Terrabacteria group;Firmicutes,2.60935,1,0,0,1
Hericium alpestre,Eukaryota;Fungi;Basidiomycetes,37.5323,0,0,0,1
Hericium coralloides,Eukaryota;Fungi;Basidiomycetes,55.9057,0,0,0,1
Hericium erinaceus,Eukaryota;Fungi;Basidiomycetes,41.2048,0,0,0,1
Hermetia illucens,Eukaryota;Animals;Insects,890.457,0,0,0,1
Herminiimonas,Bacteria;Proteobacteria;Betaproteobacteria,3.64359,0,0,0,2
Herminiimonas arsenicoxydans,Bacteria;Proteobacteria;Betaproteobacteria,3.42431,1,0,0,1
Herminiimonas arsenitoxidans,Bacteria;Proteobacteria;Betaproteobacteria,3.78432,1,0,0,1
